Scan	BasePeak	RT	MaxIntensity	CumulativeIntensity
514	430.88916015625	4.62710166666667	47711.90234375	39327328.1031799
517	430.889526367188	4.64352166666667	51700.40234375	39409900.188385
518	430.88916015625	4.65290166666667	52399.1328125	39491756.6152649
519	430.889068603516	4.66268666666667	47973.203125	39568809.8865662
520	430.888732910156	4.672495	53944.9375	39658462.967865
521	430.888793945313	4.68214666666667	59789.37109375	39755605.54953
522	430.889373779297	4.69188	104218.3046875	39928618.9362793
523	430.889221191406	4.70238833333333	99034.234375	40087689.2340088
525	430.889617919922	4.71644666666667	63983.921875	40189436.9017334
526	430.888275146484	4.72642	118971.1015625	40381873.609375
527	430.88916015625	4.73608666666667	103190.640625	40548005.9030151
528	430.889068603516	4.746635	93622.296875	40700081.3587036
529	430.889099121094	4.75706666666667	98367.3203125	40855256.4984131
530	430.889190673828	4.767575	114955.328125	41034636.0484924
533	430.889404296875	4.78532166666667	84588.7109375	41169608.3508911
534	430.888793945313	4.79529333333333	60708.4609375	41264929.0507813
535	430.88916015625	4.80501333333333	70304.34375	41376333.5412598
536	430.888732910156	4.81481833333333	58687.61328125	41471367.4152832
538	430.888885498047	4.82810166666667	58973.8515625	41561528.3046875
539	430.889251708984	4.83732833333333	49325.07421875	41639770.3562622
540	430.888793945313	4.84715166666667	51496.93359375	41723469.4748535
