MZ	sumIntensity
893.2	2741
852.115	2741
777.721	2741
780.809	2740
875.564	2739
634.236	2739
964.303	2737
987.608	2737
725.695	2737
754.765	2737
574.676	2736
730.78	2736
1044.596	2735
794.655	2735
846.125	2734
787.638	2733
719.184	2733
1019.543	2732
700.803	2732
744.673	2732
630.317	2731
753.739	2731
907.742	2730
965.651	2729
811.136	2728
865.663	2727
841.645	2726
678.723	2726
697.545	2726
849.702	2725
917.644	2725
822.127	2724
837.186	2723
1093.534	2723
750.688	2722
720.209	2721
815.854	2719
869.19	2719
880.181	2718
683.797	2718
770.195	2717
538.232	2716
799.176	2716
799.693	2716
878.574	2716
1021.042	2715
736.666	2715
748.203	2715
827.461	2715
722.151	2714
895.077	2713
720.243	2713
823.163	2712
800.646	2712
650.808	2711
889.234	2711
645.244	2710
795.666	2710
678.773	2710
715.726	2709
752.208	2707
906.682	2707
719.644	2706
980.638	2704
828.144	2704
649.824	2704
676.718	2703
763.627	2701
841.672	2701
742.676	2701
800.705	2701
728.224	2700
650.674	2699
849.279	2698
705.659	2698
807.157	2697
826.363	2697
760.083	2695
661.763	2695
925.175	2694
711.767	2694
730.799	2694
775.281	2693
904.189	2693
831.166	2693
825.211	2693
694.707	2693
635.776	2693
658.521	2693
713.715	2692
644.741	2692
682.749	2692
713.777	2690
941.626	2687
1037.587	2687
719.19	2687
812.67	2686
956.624	2686
681.285	2686
827.646	2685
783.742	2685
1030.584	2685
567.804	2685
802.235	2684
734.689	2684
620.784	2684
831.666	2683
897.68	2683
412.804	2683
742.755	2682
829.303	2682
580.609	2682
727.759	2681
647.189	2681
578.808	2680
614.712	2680
770.685	2679
791.646	2679
905.197	2679
820.18	2679
806.213	2679
444.73	2679
808.73	2678
907.376	2678
812.707	2677
827.695	2677
747.75	2677
814.167	2677
922.663	2677
743.684	2677
765.2	2676
843.746	2675
674.788	2675
674.79	2675
741.257	2674
726.225	2674
557.794	2674
553.764	2674
658.717	2673
631.789	2672
424.157	2672
611.642	2672
539.795	2671
998.555	2667
718.279	2667
753.655	2667
850.207	2667
777.194	2666
791.678	2665
914.559	2664
705.741	2664
786.674	2663
977.671	2663
801.69	2663
883.538	2663
649.79	2663
604.232	2663
807.081	2663
695.301	2662
711.725	2662
788.154	2662
898.181	2661
848.666	2661
754.684	2661
858.639	2661
1034.186	2660
712.674	2660
751.75	2660
766.807	2660
801.755	2659
737.675	2659
733.194	2658
686.784	2658
922.637	2657
880.686	2657
766.688	2657
716.704	2656
732.245	2656
662.233	2655
713.241	2655
661.626	2655
766.691	2654
977.696	2654
800.232	2654
614.644	2654
832.271	2653
552.615	2653
986.534	2652
798.134	2652
775.688	2651
582.676	2651
752.634	2650
738.198	2650
749.187	2650
618.658	2650
773.29	2649
936.254	2649
834.765	2649
874.659	2648
802.69	2647
844.61	2647
713.824	2647
751.146	2647
785.232	2646
810.865	2646
739.792	2646
828.207	2645
812.171	2645
787.664	2645
769.206	2645
641.278	2644
748.173	2644
773.354	2644
744.322	2643
812.721	2643
903.611	2643
868.671	2643
672.73	2643
849.639	2643
903.247	2642
841.203	2642
681.217	2641
640.739	2641
832.297	2641
622.724	2640
1009.021	2639
930.718	2639
789.165	2639
887.647	2639
895.681	2638
784.151	2638
887.307	2638
740.221	2636
759.693	2636
731.684	2636
889.089	2635
894.643	2635
901.67	2635
740.727	2634
740.125	2634
565.796	2634
761.543	2634
889.636	2633
1024.099	2633
745.696	2632
706.779	2632
683.216	2632
780.823	2631
850.748	2631
586.265	2631
723.096	2631
835.764	2630
800.692	2630
804.763	2629
740.716	2629
669.793	2629
729.689	2629
767.732	2629
907.167	2628
668.72	2628
762.187	2627
857.228	2627
867.137	2627
824.6	2627
760.729	2627
904.222	2626
775.455	2626
620.8	2626
577.402	2626
920.078	2625
810.493	2625
1021.576	2624
731.727	2624
742.18	2624
694.202	2624
772.177	2623
717.64	2623
795.771	2622
722.812	2622
810.674	2621
801.794	2621
744.724	2621
872.775	2621
716.773	2621
694.698	2621
751.238	2620
683.698	2620
683.529	2620
763.746	2619
829.643	2619
905.252	2618
759.673	2618
663.678	2618
833.65	2618
633.831	2618
907.566	2617
721.774	2617
511.723	2617
931.196	2616
841.727	2616
661.761	2615
810.71	2615
772.243	2615
794.181	2615
803.555	2614
758.824	2614
783.78	2613
708.196	2613
1022.677	2613
688.695	2613
636.87	2613
774.7	2613
770.212	2613
709.52	2613
852.724	2611
756.789	2611
607.768	2611
765.279	2611
689.206	2611
809.784	2611
697.62	2611
789.738	2611
841.238	2611
846.629	2610
899.621	2610
850.184	2609
813.137	2608
675.289	2608
921.72	2608
762.715	2608
711.253	2607
1014.128	2607
785.141	2607
674.805	2607
710.679	2606
635.773	2606
805.733	2605
791.214	2605
959.679	2605
780.151	2604
816.153	2604
803.729	2603
657.76	2603
672.65	2602
754.776	2602
652.737	2602
862.638	2601
926.067	2601
740.686	2601
719.182	2601
699.792	2601
860.081	2600
683.74	2600
899.713	2600
946.664	2599
907.373	2599
740.217	2598
814.211	2598
791.225	2598
797.723	2598
660.311	2598
1219.114	2598
1011.647	2597
761.661	2597
643.806	2597
632.73	2597
680.893	2596
730.683	2596
856.61	2596
786.803	2596
633.757	2596
705.196	2596
746.75	2596
856.742	2595
482.755	2594
793.822	2594
735.638	2594
621.708	2593
866.392	2593
785.825	2593
839.752	2593
874.772	2592
1096.661	2592
602.79	2592
649.732	2592
614.877	2592
819.581	2591
1005.533	2591
755.719	2591
800.045	2591
705.717	2591
624.761	2591
601.229	2591
782.126	2590
784.194	2590
767.71	2590
881.091	2590
760.74	2590
556.639	2590
828.645	2589
805.648	2589
810.611	2589
851.247	2589
949.126	2589
755.638	2589
770.809	2588
729.713	2588
914.252	2587
849.674	2587
1129.572	2586
820.566	2586
913.126	2586
971.984	2586
742.704	2585
683.779	2585
719.771	2585
759.219	2585
950.699	2585
768.784	2584
737.149	2584
769.784	2584
878.802	2583
862.176	2583
778.683	2583
1117.075	2583
613.569	2583
768.75	2582
864.091	2582
685.736	2582
700.182	2582
522.714	2581
817.681	2581
786.663	2581
716.158	2581
821.698	2581
650.734	2580
691.847	2580
837.153	2579
843.684	2578
732.17	2578
654.226	2578
480.671	2578
782.721	2577
739.693	2577
