Scan	ContainScans	BasePeak	MaxIntensity	RT	MostIntenseMass2Charge	CumulativeIntensity	TotalScans
410	411	430.889282226563	80898	3.7046	430.889312744141	29314741	31899
411	440	430.889129638672	89480	3.715045	430.889129638672	29450945	31946
412	432	430.88916015625	82978	3.72556	430.889129638672	29578866	31994
413	554	430.889465332031	80914	3.73603166666667	430.889465332031	29702219	32042
414	527	430.8896484375	63050	3.74657833333333	430.889739990234	29797599	32089
415	407	430.889282226563	82651	3.75711833333333	430.889312744141	29927452	32140
416	481	430.889251708984	89493	3.767515	430.889251708984	30070117	32204
417	405	430.889251708984	88893	3.77799833333333	430.889251708984	30217184	32260
418	447	430.889068603516	90522	3.78852666666667	430.889007568359	30361130	32312
419	410	430.889099121094	85747	3.79898833333333	430.889099121094	30497452	32366
420	433	430.889038085938	84319	3.80948	430.889007568359	30632091	32420
421	449	430.888458251953	95341	3.81996166666667	430.888427734375	30782846	32486
422	408	430.889129638672	77277	3.829925	430.88916015625	30899483	32533
423	353	430.889190673828	89449	3.84034833333333	430.889190673828	31041419	32584
424	438	430.889251708984	110135	3.851165	430.889221191406	31215210	32642
425	418	430.889190673828	100362	3.86133	430.88916015625	31377089	32691
426	383	430.889099121094	88585	3.87189166666667	430.889099121094	31516741	32743
427	437	430.889190673828	90423	3.88233	430.889129638672	31658835	32804
428	488	430.889343261719	111865	3.89282	430.889312744141	31835888	32865
429	370	430.889099121094	97757	3.903325	430.889038085938	31992957	32923
430	379	430.889068603516	97694	3.91384333333333	430.889007568359	32149102	32977
431	568	430.890075683594	56919	3.92438666666667	430.889953613281	32239365	33039
432	447	430.889251708984	87538	3.93477166666667	430.889190673828	32378704	33089
433	480	430.889007568359	106790	3.945275	430.889007568359	32551066	33148
434	527	430.889190673828	69512	3.95580333333333	430.889404296875	32659398	33200
435	565	430.889862060547	73942	3.96626666666667	430.889831542969	32774534	33243
437	359	430.889099121094	100315	3.98027	430.889038085938	32930843	33300
438	371	430.889007568359	92367	3.99028	430.889038085938	33078406	33344
439	434	430.888946533203	99608	4.00073666666667	430.888916015625	33237483	33395
440	412	430.889129638672	100801	4.01120166666667	430.889068603516	33397181	33450
441	504	430.888916015625	110149	4.02170333333333	430.888885498047	33570522	33516
442	468	430.888977050781	101982	4.03224666666667	430.888885498047	33734975	33578
443	498	430.889434814453	71683	4.04271	430.889465332031	33846999	33623
444	606	430.888977050781	52534	4.05316333333333	430.888946533203	33925799	33748
445	615	430.888732910156	49379	4.06289333333333	430.888977050781	34000239	33874
446	574	430.888732910156	50549	4.072705	430.888824462891	34073762	33993
447	572	430.888641357422	48399	4.08239166666667	430.888946533203	34146215	34127
448	553	430.888885498047	57051	4.09215166666667	430.888946533203	34233207	34235
449	501	430.888793945313	49285	4.10174666666667	430.888946533203	34312356	34350
450	548	430.888793945313	53338	4.11149	430.889221191406	34395221	34465
451	713	430.888793945313	45568	4.12110833333333	430.889251708984	34465298	34578
454	622	430.888732910156	46071	4.13808333333333	430.889251708984	34539291	34701
455	651	430.889251708984	40649	4.14735333333333	430.889221191406	34600678	34828
456	362	430.888366699219	114697	4.157	430.888244628906	34781621	34918
457	639	430.888885498047	60881	4.16661166666667	430.889221191406	34871680	35051
459	603	430.888793945313	48088	4.17992333333333	430.889221191406	34945627	35167
