bin	frequency_per_min	period_min	magnitude
405	37.663832	0.0266	1034.93
406	37.756829	0.0265	3305.93
407	37.849826	0.0264	2242.96
408	37.942823	0.0264	2014.96
409	38.035820	0.0263	1717.79
410	38.128817	0.0262	586.47
411	38.221814	0.0262	769.27
412	38.314811	0.0261	833.86
413	38.407809	0.0260	459.31
414	38.500806	0.0260	980.99
415	38.593803	0.0259	898.56
416	38.686800	0.0258	2122.23
417	38.779797	0.0258	536.01
418	38.872794	0.0257	371.01
419	38.965791	0.0257	805.18
420	39.058788	0.0256	1783.36
421	39.151785	0.0255	2153.43
422	39.244783	0.0255	257.70
423	39.337780	0.0254	597.81
424	39.430777	0.0254	936.94
425	39.523774	0.0253	2414.76
426	39.616771	0.0252	1843.93
427	39.709768	0.0252	152.94
428	39.802765	0.0251	2568.70
429	39.895762	0.0251	2123.96
430	39.988759	0.0250	1778.33
431	40.081757	0.0249	1371.94
432	40.174754	0.0249	1569.15
433	40.267751	0.0248	1248.51
434	40.360748	0.0248	1120.89
435	40.453745	0.0247	1115.39
436	40.546742	0.0247	707.00
437	40.639739	0.0246	2310.64
438	40.732736	0.0246	990.60
439	40.825734	0.0245	1611.54
440	40.918731	0.0244	654.27
441	41.011728	0.0244	1612.90
442	41.104725	0.0243	296.63
443	41.197722	0.0243	210.76
444	41.290719	0.0242	846.18
445	41.383716	0.0242	1117.56
446	41.476713	0.0241	439.42
447	41.569710	0.0241	1492.82
448	41.662708	0.0240	1543.97
449	41.755705	0.0239	424.30
450	41.848702	0.0239	2905.16
451	41.941699	0.0238	2200.22
452	42.034696	0.0238	316.67
453	42.127693	0.0237	1566.49
454	42.220690	0.0237	903.26
455	42.313687	0.0236	1027.12
456	42.406684	0.0236	1389.86
457	42.499682	0.0235	663.10
458	42.592679	0.0235	1757.19
459	42.685676	0.0234	1579.68
460	42.778673	0.0234	1282.70
461	42.871670	0.0233	760.12
462	42.964667	0.0233	1434.46
463	43.057664	0.0232	1186.33
464	43.150661	0.0232	812.64
465	43.243659	0.0231	665.67
466	43.336656	0.0231	1923.03
467	43.429653	0.0230	1774.86
468	43.522650	0.0230	1559.57
469	43.615647	0.0229	1037.03
470	43.708644	0.0229	787.65
471	43.801641	0.0228	1901.20
472	43.894638	0.0228	1470.53
473	43.987635	0.0227	1093.19
474	44.080633	0.0227	1076.86
475	44.173630	0.0226	1078.78
476	44.266627	0.0226	933.72
477	44.359624	0.0225	1676.13
478	44.452621	0.0225	813.49
479	44.545618	0.0224	1308.43
480	44.638615	0.0224	956.43
481	44.731612	0.0224	678.56
482	44.824609	0.0223	793.26
483	44.917607	0.0223	946.86
484	45.010604	0.0222	1244.52
485	45.103601	0.0222	427.96
486	45.196598	0.0221	2355.85
487	45.289595	0.0221	937.58
488	45.382592	0.0220	925.17
489	45.475589	0.0220	2342.76
490	45.568586	0.0219	2616.87
491	45.661584	0.0219	637.74
492	45.754581	0.0219	338.06
493	45.847578	0.0218	944.56
494	45.940575	0.0218	100.24
495	46.033572	0.0217	1062.48
496	46.126569	0.0217	1873.25
497	46.219566	0.0216	1351.68
498	46.312563	0.0216	593.42
499	46.405560	0.0215	473.18
500	46.498558	0.0215	1305.12
501	46.591555	0.0215	585.34
502	46.684552	0.0214	678.31
503	46.777549	0.0214	502.70
504	46.870546	0.0213	1273.83
505	46.963543	0.0213	1083.28
506	47.056540	0.0213	664.04
507	47.149537	0.0212	845.59
508	47.242534	0.0212	2009.44
509	47.335532	0.0211	214.02
510	47.428529	0.0211	872.79
511	47.521526	0.0210	1255.63
512	47.614523	0.0210	406.66
513	47.707520	0.0210	1337.32
514	47.800517	0.0209	511.96
515	47.893514	0.0209	1484.60
516	47.986511	0.0208	1012.43
517	48.079509	0.0208	726.84
518	48.172506	0.0208	459.34
519	48.265503	0.0207	639.11
520	48.358500	0.0207	2084.83
521	48.451497	0.0206	2220.28
522	48.544494	0.0206	687.81
523	48.637491	0.0206	2620.30
524	48.730488	0.0205	1970.97
525	48.823485	0.0205	1360.72
526	48.916483	0.0204	2594.44
527	49.009480	0.0204	1287.86
528	49.102477	0.0204	1131.51
529	49.195474	0.0203	550.56
530	49.288471	0.0203	1083.76
531	49.381468	0.0203	1708.65
532	49.474465	0.0202	888.07
533	49.567462	0.0202	952.17
534	49.660459	0.0201	1475.44
535	49.753457	0.0201	1341.32
536	49.846454	0.0201	313.58
537	49.939451	0.0200	1289.75
538	50.032448	0.0200	1442.60
539	50.125445	0.0199	1408.24
540	50.218442	0.0199	1133.32
541	50.311439	0.0199	1524.48
542	50.404436	0.0198	1254.91
543	50.497434	0.0198	620.92
544	50.590431	0.0198	1398.03
545	50.683428	0.0197	1359.16
546	50.776425	0.0197	1295.26
547	50.869422	0.0197	652.39
548	50.962419	0.0196	1071.22
549	51.055416	0.0196	908.35
550	51.148413	0.0196	885.60
551	51.241410	0.0195	1161.78
552	51.334408	0.0195	313.70
553	51.427405	0.0194	1251.76
554	51.520402	0.0194	858.06
555	51.613399	0.0194	2299.32
556	51.706396	0.0193	2102.96
557	51.799393	0.0193	462.65
558	51.892390	0.0193	1807.16
559	51.985387	0.0192	608.17
560	52.078384	0.0192	1549.35
561	52.171382	0.0192	1008.00
562	52.264379	0.0191	1276.64
563	52.357376	0.0191	1383.44
564	52.450373	0.0191	857.19
565	52.543370	0.0190	401.65
566	52.636367	0.0190	1081.54
567	52.729364	0.0190	1703.19
568	52.822361	0.0189	1874.70
569	52.915359	0.0189	731.07
570	53.008356	0.0189	1080.32
571	53.101353	0.0188	213.77
572	53.194350	0.0188	2114.03
573	53.287347	0.0188	759.92
574	53.380344	0.0187	1088.18
575	53.473341	0.0187	2567.64
576	53.566338	0.0187	1017.78
577	53.659335	0.0186	1090.09
578	53.752333	0.0186	1434.35
579	53.845330	0.0186	1182.35
580	53.938327	0.0185	368.87
581	54.031324	0.0185	2190.93
582	54.124321	0.0185	545.05
583	54.217318	0.0184	1441.90
584	54.310315	0.0184	1440.94
585	54.403312	0.0184	1177.68
586	54.496309	0.0183	897.90
587	54.589307	0.0183	1547.25
588	54.682304	0.0183	2183.83
589	54.775301	0.0183	1536.84
590	54.868298	0.0182	1272.47
591	54.961295	0.0182	1385.56
592	55.054292	0.0182	393.04
593	55.147289	0.0181	1429.41
594	55.240286	0.0181	256.82
595	55.333283	0.0181	1157.77
596	55.426281	0.0180	1742.08
597	55.519278	0.0180	405.98
598	55.612275	0.0180	812.15
599	55.705272	0.0180	1766.14
600	55.798269	0.0179	800.67
601	55.891266	0.0179	3014.91
602	55.984263	0.0179	1457.03
603	56.077260	0.0178	438.69
604	56.170258	0.0178	791.09
605	56.263255	0.0178	951.89
606	56.356252	0.0177	569.01
607	56.449249	0.0177	315.39
608	56.542246	0.0177	1069.63
609	56.635243	0.0177	643.11
